x,y,action,left_tolerance,right_tolerance,yaw_deg
60.94136429,-15.79409409,continue,,,
61.01008606,-17.85303116,,,,
61.00710297,-18.74717331,,,,
61.11685944,-20.10108757,,,,
61.13049698,-20.34004211,continue,,,
61.26825714,-21.55031395,,,,
61.25858307,-22.19925499,,,,
61.37169647,-24.25737,continue,,,
61.70489121,-26.34315109,,,,
62.20204163,-28.29123688,,,,
62.58077622,-29.97946549,,,,
62.68410111,-31.20014381,continue,,,
62.68582153,-32.10369873,,,,
62.74259949,-33.24345779,,,,
62.74612045,-35.03157044,continue,,,
62.54512787,-36.11176682,,,,
62.32490921,-37.39816666,,,,
62.39593887,-39.56225205,,,,
62.51104355,-41.05400467,continue,,,
62.67506409,-43.10091019,,,,
62.74156189,-45.25881958,,,,
62.87099457,-47.06562424,continue,,,
62.97730255,-49.1211319,,,,
63.17363358,-51.15360642,,,,
63.33589935,-51.8392868,,,,
63.49488831,-53.06103134,continue,,,
63.52457809,-54.25069809,,,,
63.36076355,-55.07226563,,,,
63.24481583,-56.1146965,continue,,,
63.29167175,-58.52376938,,,,
63.37287521,-59.35259247,,,,
63.39902878,-60.86973572,,,,
63.34169769,-61.29729843,continue,,,
63.43714905,-62.41218185,,,,
63.50766754,-63.72561646,,,,
63.60245895,-64.57826233,continue,,,
63.61854553,-64.89424896,,,,
63.77680588,-66.89386749,,,,
63.83046341,-68.47322846,,,,
63.88818741,-69.0399704,continue,,,
63.90460205,-69.818367,,,,
63.89747238,-70.15874481,,,,
63.85060883,-70.38573456,continue,,,
63.79673386,-70.6962738,,,,
63.79793167,-71.42638397,,,,
63.83725739,-72.61167908,,,,
63.93313599,-74.05088043,continue,,,
63.90840149,-75.16220856,,,,
63.89207459,-75.4106369,,,,
63.80992508,-77.45082855,continue,,,
63.91823196,-80.08358002,,,,
64.12845612,-82.14189911,,,,
64.20671845,-83.09433746,,,,
64.27080536,-83.71277618,continue,,,
64.27787018,-83.93314362,,,,
64.31505585,-84.16053009,,,,
64.32784271,-84.36869049,continue,,,
64.35205078,-84.61901093,,,,
64.36126709,-84.62190247,,,,
64.38498688,-84.65587616,,,,
64.3776474,-84.8221817,continue,,,
64.40829468,-85.03360748,,,,
64.39845276,-85.28928375,,,,
64.26436615,-86.44403076,continue,,,
64.31380463,-86.98655701,,,,
64.44496918,-88.06614685,,,,
64.66979218,-89.82920075,,,,
64.73672485,-90.57524109,continue,,,
64.72344971,-91.46124268,,,,
64.74475861,-91.6725235,,,,
64.77745819,-91.94080353,continue,,,
64.99233246,-92.16467285,,,,
64.73057556,-92.72010803,,,,
64.76641083,-93.04814148,,,,
64.8330307,-93.29660034,continue,,,
64.89663696,-93.64667511,,,,
64.98253632,-94.03699493,,,,
64.93218231,-94.50024414,continue,,,
64.93171692,-94.85688019,,,,
64.93401337,-95.3242569,,,,
65.04029083,-97.25307465,,,,
65.08972168,-98.47497559,continue,,,
65.10914612,-99.18271637,,,,
65.11614227,-100.2218781,,,,
65.15379334,-100.8993835,continue,,,
65.15407562,-102.3411484,,,,
65.17868805,-104.3679962,,,,
65.24015808,-106.1329575,,,,
65.32730866,-107.2554398,continue,,,
65.41703796,-108.3151245,,,,
65.54187775,-110.3890991,,,,
65.55140686,-110.8591232,continue,,,
65.63166809,-112.5454407,,,,
65.66226196,-112.7966537,,,,
65.77204132,-113.6275253,,,,
65.78955078,-114.684166,continue,,,
65.81057739,-115.2801895,,,,
65.98040009,-116.3184052,,,,
66.05280304,-117.1062851,continue,,,
66.10609436,-118.5930939,,,,
66.31781006,-120.600708,,,,
66.32131195,-121.1538773,,,,
66.5646286,-123.2196426,continue,,,
66.74586487,-124.9657898,,,,
66.92607117,-126.851326,,,,
66.97275543,-128.6529236,continue,,,
67.03294373,-129.7955322,,,,
67.0359726,-131.0286255,,,,
67.17222595,-133.0911102,,,,
67.2183075,-133.5321198,continue,,,
67.32688141,-134.4198456,,,,
