__time,/pcl_pose/header/stamp/nanosec,/pcl_pose/header/stamp/sec,/pcl_pose/pose/pose/orientation/w,/pcl_pose/pose/pose/orientation/x,/pcl_pose/pose/pose/orientation/y,/pcl_pose/pose/pose/orientation/z,/pcl_pose/pose/pose/position/x,/pcl_pose/pose/pose/position/y,/pcl_pose/pose/pose/position/z
1730697595.96133,603406080,1728187181,0.999740448,-0.017918378,0.014059366,-0.000557908,-0.019633364,-0.007676099,-0.003462725
1730697595.98502,822331136,1728187183,0.999749935,-0.017484235,0.013927213,-0.000632569,-0.008084252,-0.014908007,-0.005036881
1730697596.01697,923190016,1728187183,0.999749018,-0.017536723,0.01392691,-0.000628289,-0.00895804,-0.014977906,-0.00396726
1730697596.03764,225802496,1728187184,0.999749107,-0.017550848,0.013902928,-0.00061555,-0.009816416,-0.013588037,-0.002990716
1730697596.05671,326596352,1728187184,0.999748914,-0.017560553,0.013903956,-0.000611055,-0.010865866,-0.01293678,-0.002539076
1730697596.08401,528363264,1728187184,0.999745329,-0.017739556,0.013936525,-0.0005792,-0.011596823,-0.01133881,-0.002709259
1730697596.185,831032576,1728187184,0.999751582,-0.017416632,0.013895346,-0.000595076,-0.011132036,-0.009266526,-0.002924364
1730697596.3874,32641536,1728187185,0.999743772,-0.017725725,0.014066132,-0.000571649,-0.012703995,-0.017984459,-0.007152445
1730697596.60336,234371840,1728187185,0.999745471,-0.017645354,0.014045076,-0.000584092,-0.01221151,-0.017593721,-0.00819124
1730697597.09042,738658048,1728187185,0.999746119,-0.017706675,0.013920125,-0.000630777,-0.005367134,-0.012575991,-0.011928822
1730697597.19476,839517184,1728187185,0.999747565,-0.017599911,0.013951841,-0.000639621,-0.007650706,-0.007422672,-0.003375517
1730697597.29344,940399360,1728187185,0.999746067,-0.017719304,0.013908179,-0.000604996,-0.000482422,-0.013313415,-0.008907584
1730697597.80837,444667904,1728187186,0.999746648,-0.01768629,0.013909642,-0.000570115,-0.000761745,-0.012642193,-0.009372246
1730697598.00159,646365696,1728187186,0.999746969,-0.017673571,0.013903137,-0.000580908,-0.00100139,-0.012414778,-0.009806397
1730697598.11181,747225344,1728187186,0.99974629,-0.017689893,0.013930224,-0.000572436,-0.000912165,-0.013702366,-0.010039493
1730697598.20048,848083712,1728187186,0.999748049,-0.017600222,0.01391782,-0.00056763,-0.002144163,-0.01190935,-0.011521431
1730697598.30331,949052928,1728187186,0.999746931,-0.017607044,0.013989624,-0.000579001,-0.003403544,-0.010729164,-0.012051093
1730697598.51687,150646784,1728187187,0.999745009,-0.017682891,0.014033865,-0.000516243,-0.007192608,-0.017147271,-0.006915648
1730697598.61455,251557632,1728187187,0.9997467,-0.017584047,0.01403871,-0.000486334,-0.009392784,-0.014359366,-0.006067491
1730697598.71578,352514048,1728187187,0.999748303,-0.017470808,0.014066084,-0.00051776,-0.009374087,-0.011080896,-0.005901742
1730697598.81758,453258496,1728187187,0.999751589,-0.017286017,0.014062634,-0.000451332,-0.006602405,-0.007300158,-0.00521824
1730697598.91666,554232576,1728187187,0.999742885,-0.018019118,0.013748464,-0.000656593,-0.003257476,-0.015826929,-0.009398233
1730697599.00742,655032064,1728187187,0.999748809,-0.017587085,0.013876633,-0.000659217,-0.008791811,-0.003758796,-0.009216427
1730697599.22381,856692736,1728187187,0.999748072,-0.017604522,0.0139079,-0.000636648,-0.007994425,-0.01352431,-0.007881579
1730697599.4244,58381568,1728187188,0.999747818,-0.017651413,0.013868075,-0.00064959,-0.008251304,-0.003843382,-0.009551531
1730697599.52546,159248896,1728187188,0.99974433,-0.017924876,0.013768432,-0.00064886,-0.006053461,-0.006305016,-0.011844173
1730697599.61726,260093952,1728187188,0.999750359,-0.017435442,0.013960972,-0.00054356,-0.008080717,-0.013619389,-0.011393607
1730697599.72489,361090560,1728187188,0.999745687,-0.017682507,0.013982036,-0.000615682,-0.010117302,-0.005702246,-0.006723854
1730697599.82674,461907456,1728187188,0.999739695,-0.017860307,0.014181356,-0.0006526,-0.01081936,-0.011171969,-0.003610626
1730697599.91832,562669056,1728187188,0.99975492,-0.017349973,0.013740041,-0.000512072,-0.003659255,-0.010070601,-0.009830371
1730697600.01951,663533056,1728187188,0.99974284,-0.018092099,0.013661363,-0.00054684,-0.0066652,-0.014738541,-0.004215642
1730697600.17241,764532992,1728187188,0.999753363,-0.017495926,0.013666069,-0.000588116,-0.00612253,-0.005697447,-0.007141299
1730697600.32026,966123776,1728187188,0.999745195,-0.017731982,0.013959039,-0.000506428,-0.006195091,-0.015267927,-0.005557698
1730697600.74231,369559040,1728187189,0.999744822,-0.017709378,0.014017142,-0.000450406,-0.008527884,-0.013368195,-0.005023403
1730697600.92456,571290368,1728187189,0.999746253,-0.017655228,0.013986102,-0.000352194,-0.00771773,-0.00931584,-0.005089291
1730697601.22861,873835520,1728187189,0.999747654,-0.017594538,0.013962385,-0.000365707,-0.006657686,-0.009295774,-0.005215565
1730697601.4313,75553536,1728187190,0.99974875,-0.017563425,0.013917729,-0.000492025,-0.006682245,-0.008403406,-0.006292932
1730697601.52927,176450304,1728187190,0.999750061,-0.01757332,0.013813045,-0.000404384,-0.006377033,-0.010140716,-0.003620548
1730697601.73218,378133504,1728187190,0.999747535,-0.017694789,0.013841075,-0.000442914,-0.00571454,-0.015083399,-0.00272499
