x,y
60.863517761,-7.93772459
60.881698608,-8.114091873
60.926197052,-9.423243523
60.74124527,-10.305469513
60.788772583,-12.311756134
60.867511749,-14.379179001
60.97681427,-16.446697235
61.021556854,-18.471948624
61.206653595,-20.711248398
61.227451324,-22.84444046
61.404399872,-24.878959656
61.792980194,-26.8189888
62.291130066,-28.798099518
62.675857544,-30.768291473
62.730430603,-32.966373444
62.746120453,-35.031570435
62.386966705,-37.038780212
62.390861511,-39.11302948
62.580368042,-41.33763504
62.674411774,-43.375740051
62.743366241,-45.45665741
62.908821106,-47.840625763
63.023536682,-49.957992554
63.43598938,-52.113735199
63.568695068,-54.129703522
63.244815826,-56.114696503
63.291671753,-58.523769379
63.403015137,-60.543582916
63.441200256,-62.565582275
63.602458954,-64.578262329
63.760406494,-66.618675232
63.850334167,-68.645057678
63.869861603,-70.209686279
63.785984039,-70.9557724
63.893470764,-72.952812195
63.897014618,-75.00402832
63.760204315,-77.104606628
63.918231964,-80.083580017
64.128456116,-82.141899109
64.26953125,-83.893127441
64.320213318,-84.193283081
64.364440918,-84.615768433
64.360305786,-84.610816956
